,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
16,Guru Randhawa,"Morni Banke (From ""Badhaai Ho"")",44302,2021-03-12 07:14:00,0.816,0.922,11,-2.963,0,0.149,0.178,0.0,0.373,0.887,95.006,2Wu9PNpLUCBl3W1GaPqkhl,4,"Morni Banke (From ""Badhaai Ho"")",1lTV7wbMeSmLrBOjf42FER
394,Theory of a Deadman,Hallelujah,81605,2021-03-16 19:24:00,0.259,0.233,0,-10.649,1,0.0343,0.77,0.00218,0.135,0.212,135.948,4hmz2uWBzhzqsOiyubtYEe,3,Coastal Grandmother,7gcu5Iq7V3HhMDYM5ZUB66
582,Owl City,This Isn’t The End,203840,2021-03-18 10:38:00,0.664,0.655,7,-5.752,1,0.0291,0.0173,0.000312,0.15,0.449,128.013,2ux8CLOcArj4QsXygAB7u3,5,Mobile Orchestra,6P9CHi6Dx26YWHeE3aTZiz
583,Ben Rector,"30,000 Feet",256933,2021-03-18 10:54:00,0.555,0.452,0,-9.636,1,0.0554,0.694,0.0,0.0595,0.321,179.921,0KF5nzdiqZlxVK68MPITst,4,Brand New,4XYWS04Kkk8X1NiUR08Cpi
585,SafetySuit,Perfect Color,3610,2021-03-18 10:55:00,0.502,0.902,0,-3.166,1,0.0674,0.037,9.08e-05,0.532,0.359,137.899,2uR9zr2YbupRkVZ48eeRVx,4,#Youaretheperfectcolor,05aa0z48ezKhJnDzR7XQ5u
587,Owl City,Waving Through a Window - From Dear Evan Hansen,58330,2021-03-18 10:56:00,0.555,0.709,9,-4.873,1,0.0292,0.352,0.0,0.15,0.571,145.285,18UUNle3BNojYpIfbLueJh,4,Waving Through A Window (From Dear Evan Hansen),2NU6J8V7pVJvOW2XjDAMUd
641,Lifehouse,Stardust,360,2021-03-18 19:37:00,0.394,0.241,4,-6.921,0,0.031,0.758,0.0,0.125,0.149,128.659,01Evjih77HRm4aG3YeGcX7,4,Twenty-Five Twenty-One OST Part 6,1n609tR3RQlWgEjFwkTfj3
782,Quietdrive,Even When I'm Gone,235024,2021-03-20 18:01:00,0.391,0.667,0,-5.336,1,0.0324,0.00895,0.0,0.179,0.191,149.895,2OKkJGYRLxbsad5gisZYHN,4,Even When I'm Gone,76mNF74tm7dq9xJLNHhMZv
799,A.R. Rahman,Masti Ki Paathshala,219853,2021-03-21 05:08:00,0.845,0.686,7,-6.728,1,0.0781,0.00131,5.35e-05,0.129,0.874,146.954,2cZ2Q33G9mkS8fIVKM591T,4,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
801,A.R. Rahman,Rang De Basanti,363800,2021-03-21 05:18:00,0.848,0.925,7,-6.161,1,0.0767,0.054,0.104,0.209,0.69,105.006,1SdFBc40uBU5Pqylo05VIC,4,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
802,A.R. Rahman,Lalkaar,176733,2021-03-21 05:21:00,0.385,0.27,0,-14.616,1,0.0323,0.537,0.000745,0.112,0.0383,87.65,2T3wfHo3UoCXO3dueG0gCs,1,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
803,A.R. Rahman,Tu Bin Bataye,357626,2021-03-21 05:27:00,0.528,0.427,1,-10.848,1,0.0325,0.399,0.0188,0.0931,0.11,120.076,1jjSjma0cfNUhyOUzQqt6J,4,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
804,A.R. Rahman,Khoon Chala,156323,2021-03-21 05:30:00,0.397,0.247,1,-13.358,0,0.0427,0.755,0.0,0.108,0.121,122.119,56y6UhrAnXeSovZIE497DL,4,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
806,A.R. Rahman,Ik Onkar,13033,2021-03-21 05:37:00,0.399,0.218,2,-12.295,1,0.0384,0.962,0.0,0.108,0.15,85.863,4Ko5KYEiZ0rrFiBJKmvMQc,4,Rang De Basanti (Original Motion Picture Soundtrack),0NKNDn80mhKn4Xi6nHrsqQ
807,Lifehouse,Hurt This Way,2790,2021-03-21 05:37:00,0.579,0.661,6,-7.233,1,0.0284,0.244,2.03e-06,0.102,0.527,104.949,2hn1vD8seBFGOnZYhCbq8f,4,Out of the Wasteland,1QBMtVORr6SR41mEkzZaiu
808,Shankar Mahadevan,Mitwa Revisited,332773,2021-03-21 05:49:00,0.65,0.87,9,-7.022,1,0.0359,0.00998,0.000684,0.369,0.512,124.981,5ohKuXyIVkg7ZDY7YN0r1J,4,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),4hYTERVUXY74XJdm8tyXBV
919,A.R. Rahman,Yeh Haseen Vadiyan Yeh Khula Aasman - Instrumental,2700,2021-03-22 19:27:00,0.675,0.369,0,-11.664,1,0.031,0.582,0.161,0.0793,0.323,122.025,68DE17nfr7aDHWzI4flDAh,4,Roja (Original Motion Picture Soundtrack),2lORIs7BAIYVH7xxcXsUn7
930,Pritam,Alvida,200,2021-03-22 19:52:00,0.287,0.654,2,-5.57,1,0.0374,0.593,7.3e-06,0.11,0.241,84.015,7EjatvVN2Y2GjpvKSyWJR4,4,Life In A Metro (Original Motion Picture Soundtrack),6leYdBPs1XzfUgpc8xgeSi
