,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
0,Theory of a Deadman,Angel,1187,2021-03-12 05:39:00,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,2m6Ko3CY1qXNNja8AlugNc,4,Angel Baby,44CdsgXhU5R2esprq0tf43
1,Phillip Phillips,"Gone, Gone, Gone",1292,2021-03-12 05:39:00,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,2qHiyBpxyOXnRGG3t2iE96,4,The World From The Side Of The Moon,0mVaaNSEcExh4rejUpiSj6
2,Theory of a Deadman,Angel,202213,2021-03-12 05:43:00,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,2m6Ko3CY1qXNNja8AlugNc,4,Angel Baby,44CdsgXhU5R2esprq0tf43
3,John Newman,Without You,207965,2021-03-12 05:50:00,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,27OeeYzk6klgBh83TSvGMA,4,F*CK LOVE (SAVAGE),3YjfdLdpQcVI72uKhooZst
4,Anson Seabra,Hurricane,201440,2021-03-12 05:57:00,0.687,0.2,7,-13.241,1,0.0317,0.889,1.27e-06,0.122,0.244,134.993,2wfuK8f77bybu2MWiQ5Evn,4,Hurricane,267C1h0KBd2QGM368Ef9ue
5,OneRepublic,Wanted,136247,2021-03-12 06:04:00,0.668,0.534,1,-6.586,1,0.0677,0.164,0.0,0.1,0.711,145.816,6hLkeOMrhZ2CMLBp2of576,4,Wanted,19xtr8RaBkQNaDaNmXnVDj
6,Phillip Phillips,"Gone, Gone, Gone",730,2021-03-12 06:09:00,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,2qHiyBpxyOXnRGG3t2iE96,4,The World From The Side Of The Moon,0mVaaNSEcExh4rejUpiSj6
7,Imagine Dragons,Walking The Wire,232906,2021-03-12 06:13:00,0.54,0.761,4,-5.339,1,0.0372,0.0163,0.0,0.0941,0.147,100.008,1y3bE5i57eUm3hfLAc7h08,4,Evolve,33pt9HBdGlAbRGBHQgsZsU
8,John Newman,Without You,207965,2021-03-12 06:30:00,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,27OeeYzk6klgBh83TSvGMA,4,F*CK LOVE (SAVAGE),3YjfdLdpQcVI72uKhooZst
9,Theory of a Deadman,Angel,202213,2021-03-12 06:34:00,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,2m6Ko3CY1qXNNja8AlugNc,4,Angel Baby,44CdsgXhU5R2esprq0tf43
