,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Bad Blood___Taylor Swift,,,,,,,,,,,,,,,,,,,,
Mr. Doctor Man___Palaye Royale,0.376,0.939,4,-2.094,0,0.0781,4.65e-05,0.00023,0.109,0.529,167.904,audio_features,1yIMrzF45Ven2FzPFAr0Gg,spotify:track:1yIMrzF45Ven2FzPFAr0Gg,https://api.spotify.com/v1/tracks/1yIMrzF45Ven2FzPFAr0Gg,https://api.spotify.com/v1/audio-analysis/1yIMrzF45Ven2FzPFAr0Gg,244587,4,Boom Boom Room (Side A),3N9J3rnfoDQmYLHTcRm1VB
Crying Over You___The Band CAMINO,,,,,,,,,,,,,,,,,,,,
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)___Lil Wayne",0.502,0.786,9,-4.378,0,0.317,0.255,0,0.65,0.739,169.021,audio_features,4dASQiO1Eoo3RJvt74FtXB,spotify:track:4dASQiO1Eoo3RJvt74FtXB,https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB,https://api.spotify.com/v1/audio-analysis/4dASQiO1Eoo3RJvt74FtXB,243491,4,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),704GHNtZhEe9TBgleCNNGv
Bullet In A Gun___Imagine Dragons,0.816,0.735,8,-5.49,1,0.0539,0.16,0.000108,0.0665,0.476,130.029,audio_features,3R4Xk37WTagjzODMNEQLvs,spotify:track:3R4Xk37WTagjzODMNEQLvs,https://api.spotify.com/v1/tracks/3R4Xk37WTagjzODMNEQLvs,https://api.spotify.com/v1/audio-analysis/3R4Xk37WTagjzODMNEQLvs,204853,4,Origins (Deluxe),3JfSxDfmwS5OeHPwLSkrfr
Let's Fall in Love for the Night___FINNEAS,,,,,,,,,,,,,,,,,,,,
Part-Time Lover___Dabin,,,,,,,,,,,,,,,,,,,,
The Champion___The Score,,,,,,,,,,,,,,,,,,,,
Blood On Blood___Bon Jovi,0.363,0.925,2,-5.524,1,0.0583,0.00818,8.2e-05,0.126,0.48,138.398,audio_features,3e8Tr6rsHLNeoUwYCLZgvy,spotify:track:3e8Tr6rsHLNeoUwYCLZgvy,https://api.spotify.com/v1/tracks/3e8Tr6rsHLNeoUwYCLZgvy,https://api.spotify.com/v1/audio-analysis/3e8Tr6rsHLNeoUwYCLZgvy,376720,4,New Jersey (Deluxe Edition),3mcKOl0KNe65BqiBa40WxR
Run___Sai Sharan,0.422,0.302,11,-9.214,1,0.0372,0.629,7.83e-05,0.104,0.123,114.089,audio_features,1v1oIWf2Xgh54kIWuKsDf6,spotify:track:1v1oIWf2Xgh54kIWuKsDf6,https://api.spotify.com/v1/tracks/1v1oIWf2Xgh54kIWuKsDf6,https://api.spotify.com/v1/audio-analysis/1v1oIWf2Xgh54kIWuKsDf6,248827,4,All My Demons Greeting Me As A Friend (Deluxe),6YMSXPIHkA2jPIlFHuejXW
Try (feat. RØRY)___MitiS,0.493,0.589,4,-6.015,1,0.0334,0.263,0,0.196,0.136,132.075,audio_features,2qS7S9ramy7bLIiM71eXVX,spotify:track:2qS7S9ramy7bLIiM71eXVX,https://api.spotify.com/v1/tracks/2qS7S9ramy7bLIiM71eXVX,https://api.spotify.com/v1/audio-analysis/2qS7S9ramy7bLIiM71eXVX,252727,4,Lost,0zb5kcAv2hIbkQpGiBa9UU
One More Light___Linkin Park,,,,,,,,,,,,,,,,,,,,
PVZ but is it okay if it's lofi?___Kijugo,,,,,,,,,,,,,,,,,,,,
Rose Colored Lenses___Unlike Pluto,0.6,0.641,4,-6.398,0,0.0305,0.0616,0.000139,0.0739,0.25,97.979,audio_features,3bS1DYVMpJbMusBlDN2MUh,spotify:track:3bS1DYVMpJbMusBlDN2MUh,https://api.spotify.com/v1/tracks/3bS1DYVMpJbMusBlDN2MUh,https://api.spotify.com/v1/audio-analysis/3bS1DYVMpJbMusBlDN2MUh,207628,4,Rose Colored Lenses,7CtCIEYjGJJ9WE12eMyXuK
Be With You___Akon,,,,,,,,,,,,,,,,,,,,
Run___OneRepublic,0.682,0.72,11,-8.173,0,0.0381,0.326,0,0.148,0.673,117.003,audio_features,2sUyQ9TnAVHbg7MMEMDkXP,spotify:track:2sUyQ9TnAVHbg7MMEMDkXP,https://api.spotify.com/v1/tracks/2sUyQ9TnAVHbg7MMEMDkXP,https://api.spotify.com/v1/audio-analysis/2sUyQ9TnAVHbg7MMEMDkXP,169011,4,Poolside Party,37PU7me6O8cXIHZGQIzgtf
Higher___The Saturdays,,,,,,,,,,,,,,,,,,,,
Got A Check (feat. ALLBLACK & Offset Jim)___G-Eazy,0.862,0.693,10,-4.096,0,0.277,0.162,0,0.114,0.44,81.984,audio_features,6GEH35NKoeqMnDmT37YmHg,spotify:track:6GEH35NKoeqMnDmT37YmHg,https://api.spotify.com/v1/tracks/6GEH35NKoeqMnDmT37YmHg,https://api.spotify.com/v1/audio-analysis/6GEH35NKoeqMnDmT37YmHg,223389,4,B-Sides,2C6M7W3XuPMko8hacm8Ibo
Carry Me (feat. Julia Michaels)___Kygo,,,,,,,,,,,,,,,,,,,,
Clear___Miles Away,,,,,,,,,,,,,,,,,,,,
Hallelujah___Theory of a Deadman,0.259,0.233,0,-10.649,1,0.0343,0.77,0.00218,0.135,0.212,135.948,audio_features,4hmz2uWBzhzqsOiyubtYEe,spotify:track:4hmz2uWBzhzqsOiyubtYEe,https://api.spotify.com/v1/tracks/4hmz2uWBzhzqsOiyubtYEe,https://api.spotify.com/v1/audio-analysis/4hmz2uWBzhzqsOiyubtYEe,274347,3,Coastal Grandmother,7gcu5Iq7V3HhMDYM5ZUB66
Breakeven___The Script,,,,,,,,,,,,,,,,,,,,
Girei (Pain's Theme)___Lorenzo Ferrara,,,,,,,,,,,,,,,,,,,,
Dirty Paws___Of Monsters and Men,,,,,,,,,,,,,,,,,,,,
Goldbrick___Serene & Pax,,,,,,,,,,,,,,,,,,,,
Working for You___Jake Scott,0.548,0.497,10,-8.489,1,0.0375,0.42,0,0.105,0.118,109.906,audio_features,57ZmUMnoKaHa29g5xvpDZa,spotify:track:57ZmUMnoKaHa29g5xvpDZa,https://api.spotify.com/v1/tracks/57ZmUMnoKaHa29g5xvpDZa,https://api.spotify.com/v1/audio-analysis/57ZmUMnoKaHa29g5xvpDZa,242517,4,Working for You,508G5EcAvh0Mwm7uoXCn69
That Would Be Enough___Phillipa Soo,,,,,,,,,,,,,,,,,,,,
